entry_time,exit_time,strike,option_type,entry_price,exit_price,pnl
2023-02-15 15:26:00+05:30,2023-02-15 15:27:00+05:30,18050.0,CE,298.55,298.55,0.0
2023-02-15 15:28:00+05:30,2023-02-15 15:29:00+05:30,18050.0,CE,298.55,298.55,0.0
2023-02-15 15:30:00+05:30,2023-02-16 09:20:00+05:30,18050.0,CE,298.55,372.0,7344.999999999999
2023-02-16 09:34:00+05:30,2023-02-16 09:36:00+05:30,18100.0,CE,372.0,320.0,-5200.0
2023-02-16 09:37:00+05:30,2023-02-16 09:40:00+05:30,18150.0,CE,320.0,372.0,5200.0
2023-02-16 10:07:00+05:30,2023-02-16 10:09:00+05:30,18150.0,CE,320.0,372.0,5200.0
2023-02-16 12:19:00+05:30,2023-02-16 15:15:00+05:30,18100.0,PE,227.0,227.45,-44.99999999999886
2023-02-17 15:24:00+05:30,2023-02-17 15:25:00+05:30,17950.0,CE,648.85,648.85,0.0
2023-02-20 10:08:00+05:30,2023-02-20 10:16:00+05:30,18000.0,CE,579.85,648.85,6900.0
2023-02-20 12:12:00+05:30,2023-02-20 12:15:00+05:30,17950.0,PE,255.1,263.95,-884.9999999999994
2023-02-20 12:27:00+05:30,2023-02-20 12:28:00+05:30,17900.0,PE,263.95,255.1,884.9999999999994
2023-02-21 10:27:00+05:30,2023-02-21 11:48:00+05:30,17900.0,CE,649.95,691.1,4114.999999999998
2023-02-21 12:46:00+05:30,2023-02-21 12:47:00+05:30,17800.0,PE,234.55,243.4,-884.9999999999994
2023-02-21 14:40:00+05:30,2023-02-21 14:58:00+05:30,17850.0,PE,243.4,234.55,884.9999999999994
2023-02-22 09:47:00+05:30,2023-02-22 10:01:00+05:30,17700.0,PE,210.2,178.8,3139.9999999999977
2023-02-22 10:27:00+05:30,2023-02-22 10:35:00+05:30,17650.0,PE,178.8,210.2,-3139.9999999999977
2023-02-22 10:55:00+05:30,2023-02-22 11:31:00+05:30,17650.0,PE,178.8,210.2,-3139.9999999999977
2023-02-22 13:52:00+05:30,2023-02-22 14:34:00+05:30,17550.0,PE,177.45,183.0,-555.0000000000011
2023-02-23 13:24:00+05:30,2023-02-23 15:07:00+05:30,17600.0,CE,863.25,933.95,7070.000000000005
2023-02-27 10:17:00+05:30,2023-02-27 10:26:00+05:30,17300.0,PE,193.0,143.75,4925.0
2023-02-27 15:23:00+05:30,2023-02-27 15:24:00+05:30,17400.0,CE,594.0,594.0,0.0
2023-02-28 11:00:00+05:30,2023-02-28 11:15:00+05:30,17350.0,PE,143.75,270.05,-12630.000000000002
2023-03-01 09:33:00+05:30,2023-03-01 09:34:00+05:30,17400.0,CE,594.0,622.95,2895.0000000000045
2023-03-01 09:48:00+05:30,2023-03-01 11:15:00+05:30,17400.0,CE,594.0,564.9,-2910.0000000000023
2023-03-02 14:07:00+05:30,2023-03-02 14:16:00+05:30,17300.0,PE,193.0,143.75,4925.0
2023-03-03 09:35:00+05:30,2023-03-03 09:38:00+05:30,17500.0,CE,418.45,510.15,9169.999999999998
2023-03-03 10:03:00+05:30,2023-03-03 10:23:00+05:30,17500.0,CE,418.45,538.05,11959.999999999996
2023-03-03 10:28:00+05:30,2023-03-03 10:45:00+05:30,17500.0,CE,418.45,538.05,11959.999999999996
2023-03-03 11:48:00+05:30,2023-03-03 11:50:00+05:30,17600.0,CE,365.0,538.05,17304.999999999996
2023-03-03 12:22:00+05:30,2023-03-03 13:29:00+05:30,17550.0,CE,538.05,365.0,-17304.999999999996
2023-03-03 14:17:00+05:30,2023-03-03 14:32:00+05:30,17600.0,CE,365.0,353.3,-1169.9999999999989
2023-03-03 14:39:00+05:30,2023-03-03 14:44:00+05:30,17600.0,CE,365.0,353.3,-1169.9999999999989
2023-03-06 09:37:00+05:30,2023-03-06 09:58:00+05:30,17750.0,CE,335.45,275.9,-5955.000000000001
2023-03-06 14:00:00+05:30,2023-03-06 14:19:00+05:30,17750.0,PE,172.0,260.0,-8800.0
2023-03-08 09:33:00+05:30,2023-03-08 09:39:00+05:30,17650.0,PE,92.25,260.0,-16775.0
2023-03-08 12:09:00+05:30,2023-03-08 12:58:00+05:30,17650.0,PE,92.25,260.0,-16775.0
2023-03-08 15:21:00+05:30,2023-03-08 15:22:00+05:30,17750.0,CE,335.45,335.45,0.0
2023-03-09 10:14:00+05:30,2023-03-09 10:17:00+05:30,17700.0,PE,260.0,92.25,16775.0
2023-03-09 12:16:00+05:30,2023-03-09 12:20:00+05:30,17700.0,PE,260.0,92.25,16775.0
2023-03-09 12:31:00+05:30,2023-03-09 13:48:00+05:30,17650.0,PE,92.25,230.0,-13775.0
2023-03-09 15:29:00+05:30,2023-03-09 15:30:00+05:30,17600.0,PE,230.0,230.0,0.0
2023-03-10 09:33:00+05:30,2023-03-10 09:35:00+05:30,17400.0,PE,100.9,125.25,-2434.9999999999995
